         x1          x2 y
0.089551600 0.547026127 1
0.210512319 0.680181646 1
0.732955268 0.807823189 0
0.852133541 0.064649140 0
0.788397894 0.463374364 1
0.331959968 0.179751881 1
0.082432735 0.527464906 1
0.285526945 0.600428430 0
0.237503272 0.046243059 0
0.385236167 0.258762661 1
0.372945911 0.867993334 1
0.217908560 0.155067026 0
0.755105035 0.088290457 0
0.821681069 0.774335050 1
0.598918164 0.295576299 1
0.651033560 0.223501570 1
0.843117238 0.355648926 1
0.453238143 0.102821034 0
0.716757100 0.638335139 0
0.291222167 0.057352998 0
0.179883138 0.209020300 0
0.721743600 0.655546570 1
0.905087580 0.428684383 1
0.445766670 0.320379098 0
0.838601464 0.125554549 1
0.703492832 0.181593160 0
0.950928996 0.538335967 1
0.643152175 0.116937428 0
0.074819856 0.792378003 1
0.253490374 0.257253504 0
0.974253992 0.837181699 0
0.217304072 0.186878929 1
0.958800780 0.802571846 0
0.501856063 0.988714525 1
0.650800785 0.886350817 1
0.948301075 0.917081898 0
0.988697162 0.075817760 0
0.918114477 0.857734561 1
0.937961425 0.135460152 1
0.528335145 0.505883183 1
0.317534696 0.390873845 1
0.423698728 0.346850302 0
0.042961385 0.260643343 0
0.129273845 0.637533526 1
0.076814410 0.804242951 1
0.078419569 0.987440983 1
0.582477622 0.623180027 1
0.544103220 0.830503522 1
0.485706486 0.889233530 1
0.928246133 0.334578446 1
0.871662395 0.130013456 1
0.798496773 0.390111878 0
0.321734163 0.593399053 1
0.425328381 0.607545023 1
0.371310654 0.101620926 0
0.894273708 0.384616532 1
0.931167066 0.623878322 0
0.617238479 0.034677988 1
0.137993635 0.638933817 1
0.254140652 0.237957423 0
0.298474103 0.501616565 0
0.408579878 0.659017152 0
0.276325333 0.874762104 1
0.626006929 0.004064284 0
0.022808742 0.309730522 0
0.328526801 0.861389425 1
0.616443433 0.227593195 0
0.419175668 0.966847693 1
0.567740781 0.099786824 0
0.531089413 0.004881512 0
0.965288136 0.151089548 1
0.847544263 0.618883969 1
0.254433440 0.019130550 0
0.075905390 0.008022289 0
0.444230469 0.335029459 0
0.001509915 0.124826743 0
0.335790524 0.218586576 0
0.374027789 0.261354302 0
0.484550527 0.427865058 1
0.602876637 0.689924983 0
0.488455452 0.194259191 1
0.549087305 0.570436571 0
0.652854057 0.427578730 1
0.940194162 0.537383077 0
0.401442960 0.914765049 1
0.821490419 0.283337511 0
0.533253215 0.910318506 1
0.440705142 0.215315189 1
0.981185560 0.124709433 0
0.836305045 0.499558855 1
0.548095786 0.773000465 1
0.798674710 0.538319730 1
0.547025369 0.936013995 0
0.993083588 0.646388758 0
0.779366133 0.073109119 1
0.791594952 0.717063480 1
0.119916881 0.887005906 1
0.389898073 0.268539000 1
0.658744316 0.181583849 1
0.706583082 0.845078266 1
0.253040976 0.885009964 1
0.133783977 0.076614152 1
0.398772835 0.434308189 1
0.282908430 0.667509561 1
0.751362048 0.310580169 1
0.805803674 0.624368273 0
0.815099087 0.058841957 0
0.700264025 0.100589074 0
0.731829793 0.361531631 0
0.321570934 0.902597244 1
0.767748981 0.153398779 0
0.275912149 0.901141134 1
0.339739359 0.883331251 1
0.684199342 0.691356032 1
0.940361224 0.590687649 1
0.942019978 0.326201881 0
0.705986992 0.101583723 0
0.840455917 0.440112603 1
0.718081093 0.755491205 1
0.754459220 0.871589695 1
0.012075784 0.488530094 0
0.052867302 0.074922411 1
0.163035129 0.134832987 1
0.690249072 0.732539714 1
0.420518192 0.150270312 1
0.796747381 0.064993862 1
0.814854979 0.555651291 0
0.510490070 0.550433707 1
0.482633590 0.752610845 0
0.076960802 0.077527948 0
0.950252616 0.128070521 0
0.336711580 0.130642684 1
0.941008907 0.961847919 1
0.716344964 0.987563541 1
0.076160903 0.462583852 0
0.691803557 0.335536468 0
0.293016315 0.010138347 1
0.948243789 0.712781394 1
0.220278336 0.560027667 0
0.961037195 0.188196192 1
0.432509794 0.244736502 1
0.235282921 0.155768202 0
0.483742861 0.796851819 1
0.431642210 0.702740208 1
0.042667140 0.883486669 1
0.577644489 0.155632509 1
0.925645453 0.621685556 0
0.990661256 0.398034108 1
0.492015833 0.060644674 1
0.885152668 0.632161451 0
0.606509141 0.370790221 1
0.936467008 0.883931648 0
0.455041504 0.078936658 1
0.128995650 0.672395685 1
0.196306625 0.158713216 1
0.986206093 0.857078055 1
0.150628608 0.010423644 0
0.690812794 0.685099244 0
0.587853417 0.826036747 1
0.583710144 0.311942781 0
0.140186463 0.082539832 0
0.663760390 0.157438034 1
0.329471168 0.270372557 1
0.541438482 0.591567804 1
0.978341209 0.624945167 0
0.080870085 0.825544452 1
0.529039840 0.406946904 1
0.397549173 0.097691124 0
0.760781071 0.858824288 0
0.982122482 0.442879132 0
0.802479030 0.459856358 1
0.567755360 0.375724470 1
0.068613497 0.857724696 1
0.187692857 0.427227676 1
0.821352014 0.849861341 1
0.495839442 0.760076738 1
0.558958358 0.381336396 1
0.735491525 0.536158573 0
0.406379675 0.840494881 1
0.928389170 0.858028649 0
0.318022334 0.242827239 1
0.861035323 0.895127446 0
0.251682008 0.819352000 1
0.102320407 0.504979193 0
0.912851690 0.891083157 0
0.795762133 0.712496267 0
0.921160086 0.767673514 1
0.674192963 0.545658655 0
0.231848216 0.321373582 1
0.176887432 0.023133752 1
0.467899157 0.893238053 1
0.298504231 0.010046179 1
0.791086469 0.422261012 1
0.400900148 0.815699369 1
0.692372852 0.143928599 0
0.061145872 0.587756507 1
0.869498285 0.606450038 1
0.872224328 0.041790746 1
0.432001884 0.315968943 0
0.568421057 0.294234651 1
