46.51436,-102.23802,185
47.10454,-100.3474,189
46.7675,-102.61457,191
48.48655,-99.04677,201
46.07967,-97.33685,186
48.14746,-99.97747,188
46.65949,-102.28557,188
47.80402,-102.98438,204
47.42664,-97.83659,198
47.80441,-103.11749,204
46.51495,-102.15653,189
48.72805,-97.86186,199
46.07985,-97.42609,197
47.48167,-100.11875,186
47.25705,-100.09746,198
47.57309,-99.01796,189
47.81926,-101.40047,202
47.43246,-96.87856,194
46.20376,-96.80367,184
48.87249,-102.23951,207
47.09557,-98.23495,195
48.35432,-98.84667,203
48.68534,-97.44778,207
48.52645,-97.86252,199
46.1172,-100.47643,165
47.17411,-97.58744,188
47.81945,-101.1625,202
46.28244,-97.04005,181
45.98854,-103.29641,186
48.44509,-103.1897,204
48.89433,-102.49153,199
46.1052,-101.83289,189
47.89426,-100.52096,169
46.63007,-96.82404,190
46.62717,-98.32685,188
47.64055,-99.03122,197
46.55574,-97.48993,186
48.79643,-103.20243,208
48.53928,-103.18984,204
47.86274,-100.92896,200
48.7168,-98.7099,193
46.18924,-96.88609,187
48.15322,-101.17892,200
48.5196,-103.18977,208
46.57414,-102.28102,191
46.33669,-96.73706,201
46.27636,-97.65332,181
46.35709,-101.5711,189
46.73842,-104.00667,189
47.86273,-100.92897,200
47.43907,-97.32618,197
48.19416,-98.79573,206
47.4423,-98.29424,188
48.14901,-99.52367,190
48.31086,-98.3391,197
46.1325,-101.66647,192
46.0453,-101.04288,191
47.24617,-97.21739,194
46.25282,-97.14561,200
46.63005,-97.65335,181
48.63168,-99.22464,201
48.05939,-101.9653,204
45.97263,-100.82485,188
47.80453,-103.22817,204
46.65608,-100.90484,191
46.48705,-100.90383,191
48.23799,-99.09205,200
48.11535,-101.96548,207
46.18011,-99.75241,184
47.53971,-98.13401,188
47.48674,-100.27299,198
48.05939,-101.96531,207
47.04238,-99.31198,187
46.69911,-97.80802,195
47.43911,-97.32622,190
46.18574,-97.63293,186
47.59926,-97.25919,190
46.84773,-101.19774,188
48.82086,-100.65424,198
47.24608,-97.21746,187
46.91187,-102.43282,185
46.18807,-97.13521,181
46.74656,-96.95256,201
48.48092,-98.88418,183
48.77018,-99.26269,218
47.37571,-97.04076,187
46.38589,-101.1322,188
48.15319,-101.1867,203
46.55074,-99.37136,184
46.20553,-101.95763,189
47.17656,-102.22939,198
48.69449,-98.83989,199
47.24127,-101.91839,195
47.51268,-97.3239,187
47.81824,-99.76661,185
46.89761,-97.55613,188
